date,equity,cash,bench
2026-05-19,100000.0,100000.0,100000.0
2026-05-20,100230.86,62527.85,101544.79
2026-05-21,102735.87,21550.48,101632.69
2026-05-22,102298.4,5273.4,101829.33
2026-05-26,105504.06,5273.4,103036.13
2026-05-27,105109.35,5273.4,103107.84
2026-05-28,105182.98,5273.4,104046.12
2026-05-29,105749.72,5273.4,104259.29
2026-06-01,105849.19,5273.4,104700.68
2026-06-02,106739.17,5273.4,104728.09
2026-06-03,110196.18,6691.29,103800.71
2026-06-04,109695.32,6691.29,103711.73
2026-06-05,102152.78,6693.84,99376.59
2026-06-08,103692.77,20801.15,100227.86
2026-06-09,104165.38,20801.15,99258.27
2026-06-10,101363.84,20801.15,97289.56
2026-06-11,105713.23,29629.88,99764.02
2026-06-12,108124.44,29629.88,100070.08
2026-06-15,112118.89,29629.88,103143.43
2026-06-16,111684.58,29629.88,101954.45
2026-06-17,114095.5,33459.89,100583.48
2026-06-18,116881.4,33459.89,102501.74
2026-06-22,119328.27,33459.89,101143.72
2026-06-23,116047.71,33459.89,98903.5
2026-06-24,114116.35,50511.42,98476.77
2026-06-25,116011.05,50511.42,98020.5
2026-06-26,113932.67,50511.42,97784.79
2026-06-29,117200.57,50511.42,99804.53
2026-06-30,117160.47,50511.42,101325.86
2026-07-01,115508.5,50511.42,100654.48
2026-07-02,112958.68,50511.42,99852.96
2026-07-06,114529.23,52254.41,100968.08
2026-07-07,114015.42,49363.47,99798.92
2026-07-08,114991.69,49363.47,99999.77
2026-07-09,116309.11,44444.7,101299.46
2026-07-10,115739.85,40098.95,101588.28
2026-07-13,113187.75,40098.95,100009.54
2026-07-14,114712.23,45001.05,100913.38
2026-07-15,114263.62,35636.37,101540.43
2026-07-16,110319.41,33174.09,100043.44
2026-07-17,113168.51,32398.16,98645.3
2026-07-20,110912.62,32398.16,98598.26
2026-07-21,114191.1,32398.16,99870.51
2026-07-22,113974.98,32398.16,99304.96
2026-07-23,115399.29,32398.16,97166.6
2026-07-24,114980.04,39661.6,96540.91
2026-07-27,114479.02,47603.63,96371.84
2026-07-28,114145.6,47603.63,96158.59
2026-07-29,113481.9,44516.64,94481.13
2026-07-30,116299.04,42192.64,97106.65
2026-07-31,113398.87,42192.64,98079.44
2026-08-03,112177.22,41385.09,100166.94
2026-08-04,115429.88,32272.7,102760.96
2026-08-05,116749.51,32272.7,101904.58
2026-08-06,116257.83,32272.7,101846.25
2026-08-07,117603.85,32272.7,103169.25
2026-08-10,117912.95,32272.7,102839.69
2026-08-11,115758.27,32272.7,102221.58
2026-08-12,115438.16,32272.7,102774.49
2026-08-13,113512.75,29816.04,103603.76
2026-08-14,114156.56,29631.13,103318.23
2026-08-17,115811.32,26874.26,102992.57
