Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,28.200001,28.440001,27.549999,28.100000,826900,0.000000,0.000000,28.200001,28.440001,27.549999,28.100000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,23235890.000000,
2015-01-05,28.670000,28.879999,27.459999,27.620001,1038300,0.000000,0.000000,28.670000,28.879999,27.459999,27.620001,,,,,,,,,,50.000000,,,,,,,-0.017082,,,,,,,-0.017082,,,,28677847.038300,
2015-01-06,28.150000,28.440001,27.520000,27.930000,1595600,0.000000,0.000000,28.150000,28.440001,27.520000,27.930000,,,,,,,,,,50.000000,,,,,,,0.011224,,,,,,,-0.006050,,,,44565108.000000,
2015-01-07,28.139999,28.459999,27.709999,28.100000,1380500,0.000000,0.000000,28.139999,28.459999,27.709999,28.100000,,,,,,,,,,50.000000,,,,,,,0.006087,,,,,,,0.000000,,,,38792050.000000,
2015-01-08,28.309999,28.780001,28.150000,28.459999,2626100,0.000000,0.000000,28.309999,28.780001,28.150000,28.459999,,,,,,,,,,50.000000,,,,,,,0.012811,,,,,,,0.000000,,,,74738803.373900,
2015-01-09,28.500000,28.620001,27.780001,27.870001,1186500,0.000000,0.000000,28.500000,28.620001,27.780001,27.870001,,,,,,,,,,50.000000,,,,,,,-0.020731,-0.008185,,,,,,-0.020731,,,,33067756.186500,
2015-01-12,28.030001,28.100000,27.230000,27.870001,1409200,0.000000,0.000000,28.030001,28.100000,27.230000,27.870001,,,,,,,,,,50.000000,,,,,,,0.000000,0.009051,,,,,,-0.020731,,,,39274405.409200,
2015-01-13,27.990000,28.540001,27.309999,27.690001,1338500,0.000000,0.000000,27.990000,28.540001,27.309999,27.690001,,,,,,,,,,50.000000,,,,,,,-0.006459,-0.008593,,,,,,-0.027055,,,,37063066.338500,
2015-01-14,27.430000,27.940001,27.270000,27.840000,837800,0.000000,0.000000,27.430000,27.940001,27.270000,27.840000,,,,,,,,,,50.000000,,,,,,,0.005417,-0.009253,,,,,,-0.021785,,,,23324352.000000,
2015-01-15,27.820000,27.950001,27.330000,27.700001,1171800,0.000000,0.000000,27.820000,27.950001,27.330000,27.700001,,,,,,,,,,50.000000,,,,,,,-0.005029,-0.026704,,,,,,-0.026704,,,,32458861.171800,
2015-01-16,27.780001,29.280001,27.540001,29.209999,1524800,0.000000,0.000000,27.780001,29.280001,27.540001,29.209999,,,,,,,,,,50.000000,,,,,,,0.054513,0.048080,,,,,,0.000000,,,,44539406.475200,
