Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar
2015-01-02,4760.240234,4777.009766,4698.109863,4726.810059,1435150000,0.000000,0.000000,4760.240234,4777.009766,4698.109863,4726.810059,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,6783681456173.850586
2015-01-05,4700.339844,4702.770020,4641.459961,4652.569824,1794470000,0.000000,0.000000,4700.339844,4702.770020,4641.459961,4652.569824,,,,,,,,,,50.000000,,,,,,,-0.015706,,,,,,,-0.015706,,,,8348896972073.280273
2015-01-06,4666.850098,4667.330078,4567.589844,4592.740234,2167320000,0.000000,0.000000,4666.850098,4667.330078,4567.589844,4592.740234,,,,,,,,,,50.000000,,,,,,,-0.012859,,,,,,,-0.028364,,,,9953937763952.878906
2015-01-07,4626.839844,4652.720215,4613.899902,4650.470215,1957950000,0.000000,0.000000,4626.839844,4652.720215,4613.899902,4650.470215,,,,,,,,,,50.000000,,,,,,,0.012570,,,,,,,-0.016150,,,,9105388157459.250000
2015-01-08,4689.540039,4741.379883,4688.020020,4736.189941,2105450000,0.000000,0.000000,4689.540039,4741.379883,4688.020020,4736.189941,,,,,,,,,,50.000000,,,,,,,0.018432,,,,,,,0.000000,,,,9971811111278.449219
2015-01-09,4744.470215,4744.709961,4681.240234,4704.069824,1715830000,0.000000,0.000000,4744.470215,4744.709961,4681.240234,4704.069824,,,,,,,,,,50.000000,,,,,,,-0.006782,-0.004811,,,,,,-0.006782,,,,8071384126113.919922
2015-01-12,4714.069824,4715.810059,4650.649902,4664.709961,1861960000,0.000000,0.000000,4714.069824,4715.810059,4650.649902,4664.709961,,,,,,,,,,50.000000,,,,,,,-0.008367,0.002609,,,,,,-0.015092,,,,8685503358983.559570
2015-01-13,4708.740234,4751.339844,4624.279785,4661.500000,2162180000,0.000000,0.000000,4708.740234,4751.339844,4624.279785,4661.500000,,,,,,,,,,50.000000,,,,,,,-0.000688,0.014971,,,,,,-0.015770,,,,10079002070000.000000
2015-01-14,4610.759766,4655.370117,4595.979980,4639.319824,2073810000,0.000000,0.000000,4610.759766,4655.370117,4595.979980,4639.319824,,,,,,,,,,50.000000,,,,,,,-0.004758,-0.002398,,,,,,-0.020453,,,,9621067844209.439453
2015-01-15,4657.459961,4663.959961,4567.390137,4570.819824,1976260000,0.000000,0.000000,4657.459961,4663.959961,4567.390137,4570.819824,,,,,,,,,,50.000000,,,,,,,-0.014765,-0.034916,,,,,,-0.034916,,,,9033128385378.240234
2015-01-16,4566.379883,4635.819824,4563.109863,4634.379883,1970520000,0.000000,0.000000,4566.379883,4635.819824,4563.109863,4634.379883,,,,,,,,,,50.000000,,,,,,,0.013906,-0.014815,,,,,,-0.021496,,,,9132138247049.160156
2015-01-20,4655.839844,4665.649902,4601.100098,4654.850098,1835040000,0.000000,0.000000,4655.839844,4665.649902,4601.100098,4654.850098,,,,,4647.770919,,,,,50.000000,,,,,,,0.004417,-0.002114,,,,,,-0.017174,,,,8541836123833.919922
2015-01-21,4641.950195,4692.459961,4629.589844,4667.419922,1847420000,0.000000,0.000000,4641.950195,4692.459961,4629.589844,4667.419922,,,,,4651.182732,,,,,50.000000,,,,,,,0.002700,0.001270,,,,,,-0.014520,,,,8622684912301.240234
2015-01-22,4690.930176,4752.600098,4644.569824,4750.399902,1996550000,0.000000,0.000000,4690.930176,4752.600098,4644.569824,4750.399902,,,,,4668.076248,,,,,50.000000,,,,,81.555232,0.017168,0.017779,0.023943,,,,,,0.000000,,,,9484410924338.099609
